"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"76","Randall Cobb",GB,"4 out of 5 stars","3 out of 5 stars","18.4","-11"
"77","Mecole Hardman",KC,"3 out of 5 stars","3 out of 5 stars","23.0","-27"
"78","Kalif Raymond",DET,"3 out of 5 stars","3 out of 5 stars","22.5","+183"
"79","Gabriel Davis",BUF,"1 out of 5 stars","3 out of 5 stars","22.5","-11"
"80","Will Fuller V",MIA,"5 out of 5 stars","5 out of 5 stars","17.6","-33"
"81","Josh Reynolds",DET,"3 out of 5 stars","3 out of 5 stars","22.0","+35"
"82","Darius Slayton",NYG,"4 out of 5 stars","4 out of 5 stars","21.5","+4"
"83","Quez Watkins",PHI,"4 out of 5 stars","3 out of 5 stars","16.8","+135"
"84","Curtis Samuel",WAS,"3 out of 5 stars","3 out of 5 stars","20.5","-32"
"85","K.J. Osborn",MIN,"3 out of 5 stars","3 out of 5 stars","20.5","+118"
"86","Sammy Watkins",BAL,"3 out of 5 stars","3 out of 5 stars","20.0","-4"
"87","DeSean Jackson",LV,"2 out of 5 stars","2 out of 5 stars","20.0","+14"
"88","Jauan Jennings",SF,"3 out of 5 stars","4 out of 5 stars","19.5","+155"
"89","Jalen Reagor",PHI,"4 out of 5 stars","3 out of 5 stars","15.6","-19"
"90","James Washington",PIT,"3 out of 5 stars","3 out of 5 stars","19.5","+59"
"91","Zay Jones",LV,"2 out of 5 stars","2 out of 5 stars","19.0","-"
